year,avg_temp,5years_rolling_avg_temp
1750-01-01,8.72,8.72
1751-01-01,7.98,8.35
1752-01-01,5.78,7.493
1753-01-01,8.39,7.718
1754-01-01,8.47,7.868
1755-01-01,8.36,7.796
1756-01-01,8.85,7.97
1757-01-01,9.02,8.618
1758-01-01,6.74,8.288
1759-01-01,7.99,8.192
1760-01-01,7.19,7.958
1761-01-01,8.77,7.942
1762-01-01,8.61,7.86
1763-01-01,7.5,8.012
1764-01-01,8.4,8.094
1765-01-01,8.25,8.306
1766-01-01,8.41,8.234
1767-01-01,8.22,8.156
1768-01-01,6.78,8.012
1769-01-01,7.69,7.87
1770-01-01,7.69,7.758
1771-01-01,7.85,7.646
1772-01-01,8.19,7.64
1773-01-01,8.22,7.928
1774-01-01,8.77,8.144
1775-01-01,9.18,8.442
1776-01-01,8.3,8.532
1777-01-01,8.26,8.546
1778-01-01,8.54,8.61
1779-01-01,8.98,8.652
1780-01-01,9.43,8.702
1781-01-01,8.1,8.662
1782-01-01,7.9,8.59
1783-01-01,7.68,8.418
1784-01-01,7.86,8.194
1785-01-01,7.36,7.78
1786-01-01,8.26,7.812
1787-01-01,8.03,7.838
1788-01-01,8.45,7.992
1789-01-01,8.33,8.086
1790-01-01,7.98,8.21
1791-01-01,8.23,8.204
1792-01-01,8.09,8.216
1793-01-01,8.23,8.172
1794-01-01,8.53,8.212
1795-01-01,8.35,8.286
1796-01-01,8.27,8.294
1797-01-01,8.51,8.378
1798-01-01,8.67,8.466
1799-01-01,8.51,8.462
1800-01-01,8.48,8.488
1801-01-01,8.59,8.552
1802-01-01,8.58,8.566
1803-01-01,8.5,8.532
1804-01-01,8.84,8.598
1805-01-01,8.56,8.614
1806-01-01,8.43,8.582
1807-01-01,8.28,8.522
1808-01-01,7.63,8.348
1809-01-01,7.08,7.996
1810-01-01,6.92,7.668
1811-01-01,6.86,7.354
1812-01-01,7.05,7.108
1813-01-01,7.74,7.13
1814-01-01,7.59,7.232
1815-01-01,7.24,7.296
1816-01-01,6.94,7.312
1817-01-01,6.98,7.298
1818-01-01,7.83,7.316
1819-01-01,7.37,7.272
1820-01-01,7.62,7.348
1821-01-01,8.09,7.578
1822-01-01,8.19,7.82
1823-01-01,7.72,7.798
1824-01-01,8.55,8.034
1825-01-01,8.39,8.188
1826-01-01,8.36,8.242
1827-01-01,8.81,8.366
1828-01-01,8.17,8.456
1829-01-01,7.94,8.334
1830-01-01,8.52,8.36
1831-01-01,7.64,8.216
1832-01-01,7.45,7.944
1833-01-01,8.01,7.912
1834-01-01,8.15,7.954
1835-01-01,7.39,7.728
1836-01-01,7.7,7.74
1837-01-01,7.38,7.726
1838-01-01,7.51,7.626
1839-01-01,7.63,7.522
1840-01-01,7.8,7.604
1841-01-01,7.69,7.602
1842-01-01,8.02,7.73
1843-01-01,8.17,7.862
1844-01-01,7.65,7.866
1845-01-01,7.85,7.876
1846-01-01,8.55,8.048
1847-01-01,8.09,8.062
1848-01-01,7.98,8.024
1849-01-01,7.98,8.09
1850-01-01,7.9,8.1
1851-01-01,8.18,8.026
1852-01-01,8.1,8.028
1853-01-01,8.04,8.04
1854-01-01,8.21,8.086
1855-01-01,8.11,8.128
1856-01-01,8.0,8.092
1857-01-01,7.76,8.024
1858-01-01,8.1,8.036
1859-01-01,8.25,8.044
1860-01-01,7.96,8.014
1861-01-01,7.85,7.984
1862-01-01,7.56,7.944
1863-01-01,8.11,7.946
1864-01-01,7.98,7.892
1865-01-01,8.18,7.936
1866-01-01,8.29,8.024
1867-01-01,8.44,8.2
1868-01-01,8.25,8.228
1869-01-01,8.43,8.318
1870-01-01,8.2,8.322
1871-01-01,8.12,8.288
1872-01-01,8.19,8.238
1873-01-01,8.35,8.258
1874-01-01,8.43,8.258
1875-01-01,7.86,8.19
1876-01-01,8.08,8.182
1877-01-01,8.54,8.252
1878-01-01,8.83,8.348
1879-01-01,8.17,8.296
1880-01-01,8.12,8.348
1881-01-01,8.27,8.386
1882-01-01,8.13,8.304
1883-01-01,7.98,8.134
1884-01-01,7.77,8.054
1885-01-01,7.92,8.014
1886-01-01,7.95,7.95
1887-01-01,7.91,7.906
1888-01-01,8.09,7.928
1889-01-01,8.32,8.038
1890-01-01,7.97,8.048
1891-01-01,8.02,8.062
1892-01-01,8.07,8.094
1893-01-01,8.06,8.088
1894-01-01,8.16,8.056
1895-01-01,8.15,8.092
1896-01-01,8.21,8.13
1897-01-01,8.29,8.174
1898-01-01,8.18,8.198
1899-01-01,8.4,8.246
1900-01-01,8.5,8.316
